gene,log2FC,pval,mean_a,mean_b,padj,-log10p,significant
ACER1,0.03663844986247667,0.28396908900507817,-0.007031010847424053,0.029607439015052618,0.9457182643135121,0.5467289318020746,False
ACSL1,0.14090135225216058,0.40916128344690617,0.14971094049398784,0.2906122927461484,0.9457182643135121,0.38810546777724214,False
ACSBG1,-0.06714264062904861,0.35946708188991155,-0.013300788602476962,-0.08044342923152557,0.9457182643135121,0.4443408738711667,False
ACRV1,0.2379041894024761,0.22326057719830114,-0.2787028085548252,-0.0407986191523491,0.9457182643135121,0.6511879568065346,False
ACRC,-0.23205766837008435,0.09053021178988521,0.0843987289262885,-0.14765893944379585,0.9457182643135121,1.0432064636229783,False
ACPT,-0.9013438425240373,0.4719158787580532,-0.33902835905319517,-1.2403722015772325,0.9457182643135121,0.3261354095165901,False
ACP6,0.29877988995077087,0.4437886248012147,-0.42148137696680826,-0.12270148701603742,0.9457182643135121,0.3528238338060743,False
OR12F06,-0.16026790402733432,0.1049143935456291,0.14111803802638576,-0.019149866000948552,0.9457182643135121,0.979164925451608,False
ACP2,-0.15954920097240466,0.3335834811589661,0.0774988887933161,-0.08205031217908855,0.9457182643135121,0.47679546348733404,False
ACOT9,-0.029050043652785514,0.47524266214266153,-0.01644405509556719,-0.0454940987483527,0.9457182643135121,0.3230845800186547,False
ACOT8,-0.07880405162191648,0.5316263168178335,-0.2177034427788296,-0.2965074944007461,0.9457182643135121,0.2743935285459467,False
OR12E11,-0.01227882148533466,0.11567825308217135,-0.007130643562311704,-0.019409465047646363,0.9457182643135121,0.9367482785082397,False
ACOT13,-0.04668845590568839,0.5207635031500044,0.023478766105616177,-0.023209689800072212,0.9457182643135121,0.2833594601848161,False
ACOT12,0.10806933748840634,0.35434307726262115,-0.17229490407098025,-0.0642255665825739,0.9457182643135121,0.45057604755326724,False
OR10G12,0.10854353426905809,0.27411851777712554,0.0037670384943112,0.1123105727633693,0.9457182643135121,0.5620616251800322,False
